,PCPI_IX_US,NGDP_R_SA_XDC_US,PCPI_IX_GB,NGDP_R_SA_XDC_GB,date
98,109.166855838689,4266154,110.782319215831,507485,2014-07-01
99,108.289861984678,4285308.8,110.930275568707,510787,2014-10-01
100,107.701632535448,4320161.8,110.338450157204,512895,2015-01-01
101,109.000078726135,4345218.8,111.004253745145,516141,2015-04-01
102,109.28639727042,4359270,111.152210098021,518365,2015-07-01
103,108.794779310772,4365644.8,111.337155539116,522194,2015-10-01
104,108.865097800025,4391366.3,111.115221009802,524102,2016-01-01
105,110.141378379969,4404645.3,111.855002774182,527401,2016-04-01
106,110.50779885549,4431122.3,112.298871832809,529730,2016-07-01
107,110.753760701595,4453140,113.038653597189,533173,2016-10-01
108,111.629531625358,4472273.5,113.519511744036,537114,2017-01-01
109,112.236257894588,4494804.5,114.740151655262,539994,2017-04-01
110,112.681404504816,4531998.5,115.331977066765,542780,2017-07-01
111,113.099035184468,4577575,116.182726095802,546185,2017-10-01
112,114.101226522605,4609281.8,116.330682448678,547003,2018-01-01
113,115.279978415281,4641424.3,117.366376918809,549491,2018-04-01
114,115.657252396752,4674937,117.995191418532,552545,2018-07-01
115,115.590755564524,4683435.3,118.624005918254,553966,2018-10-01
116,115.97811872054,4708852.8,118.439060477159,557458,2019-01-01
117,117.368131813537,4740543.8,119.622711300166,558071,2019-04-01
118,117.68991533501,4782733,120.103569447013,561480,2019-07-01
119,117.940616035826,4803922.8,120.325503976327,561339,2019-10-01
120,118.435291321093,4747469.3,120.399482152765,546515,2020-01-01
121,117.795698801452,4344678,120.58442759386,431794,2020-04-01
122,119.12853990536,4685930,121.028296652488,503509,2020-07-01
123,119.402476280886,4731065.5,121.213242093582,509621,2020-10-01
124,120.683801448102,4804056,121.472165711115,504255,2021-01-01
125,123.507547390458,4886062,123.09968559275,537175,2021-04-01
126,125.484872734999,4918148.5,124.246347327538,546487,2021-07-01
127,127.389433729792,5001545.3,126.576659885334,554821,2021-10-01
